date,code,name,open,high,low,close,volume,value
2026-03-02,AMD,AMD,193.845,198.74,190,198.62,34120155,6776945186.1
2026-03-02,AMZN,AMZN,204.55,209.73,203.46,208.39,46001010,9586150473.9
2026-03-02,AVGO,AVGO,309.36,320.04,307.2,318.82,20567227,6557243312.139999
2026-03-02,GOOGL,GOOGL,303.225,308.49,301.3,306.52,34790203,10663893023.56
2026-03-02,META,META,637.16,659.94,634.5,653.56,9816125,6415426654.999999
2026-03-02,MSFT,MSFT,392.855,401.19,390.63,398.55,35474907,14138524184.85
2026-03-02,MU,MU,401.47,417.61,397,412.67,30049197,12400402125.99
2026-03-02,NVDA,NVDA,175.01,183.46,174.64,182.48,209095331,38155716000.88
2026-03-02,PLTR,PLTR,140.775,147.14,140.52,145.17,72683884,10551519440.279999
2026-03-02,TSLA,TSLA,390.6,404.54,388.25,403.32,55088338,22218228482.16
2026-03-03,AMD,AMD,191.46,193.64,188.22,190.95,37785697,7215178842.15
2026-03-03,AMZN,AMZN,203.1,209.178,202.48,208.73,43184918,9013987934.14
2026-03-03,AVGO,AVGO,313,315.88,307.4,313.84,20826179,6536088017.36
2026-03-03,GOOGL,GOOGL,298.59,303.94,296.71,303.58,35496961,10776167420.38
2026-03-03,META,META,648.29,659.04,638.84,655.08,12263754,8033739970.320001
2026-03-03,MSFT,MSFT,393.14,406.7,392.67,403.93,38199209,15429806491.37
2026-03-03,MU,MU,386.55,390.09,374.55,379.68,39010902,14811659271.36
2026-03-03,NVDA,NVDA,178.49,180.9,176.92,180.05,178099430,32066802371.500004
2026-03-03,PLTR,PLTR,142.1,147.5,138.2,147.22,67460192,9931489466.24
2026-03-03,TSLA,TSLA,395.09,396.34,385.39,392.43,62617298,24572906254.14
2026-03-04,AMD,AMD,192.12,202.44,189.86,202.07,40912561,8267201201.2699995
2026-03-04,AMZN,AMZN,210.47,217.54,210.15,216.82,54731101,11866797318.82
2026-03-04,AVGO,AVGO,315.68,322.64,311.74,317.53,34895801,11080463691.529999
2026-03-04,GOOGL,GOOGL,302.89,305.47,300.75,303.13,29536190,8953305274.7
2026-03-04,META,META,657.96,672.77,657.671,667.73,10810054,7218197357.42
2026-03-04,MSFT,MSFT,401.265,411.033,400.31,405.2,35807990,14509397548.0
2026-03-04,MU,MU,393.635,407.88,387.609,400.77,32644899,13083096172.23
2026-03-04,NVDA,NVDA,180.44,184.7,180.06,183.04,177731198,32531918481.92
2026-03-04,PLTR,PLTR,148.43,154.52,148.06,153.19,60062166,9200923209.539999
2026-03-04,TSLA,TSLA,397.845,408.33,394.58,405.94,68305513,27727939947.22
2026-03-05,AMD,AMD,197.77,203.79,194.88,199.45,36000660,7180331637.0
